;; SKK dictionary filtered by BCCWJ frequency data
;;
;; Filtered for Commander X16 Japanese editor
;; Selection based on BCCWJ corpus frequency rankings
;;
;; okuri-ari entries.
すr /擦/刷/剃/摩/摺/磨/擂/
いr /入/居/射/要/炒/煎/鋳/容/熬/
まs /摩/増/況/
あr /在/荒/有/
でs /出/
いu /言/謂/云/居/射/鋳/
こt /凝/請/梱/樵/乞/恋/
なi /無/泣/鳴/和/凪/薙/哭/啼/綯/
なr /慣/鳴/成/馴/熟/狎/為/生/
いt /居/凍/射/行/言/入/逝/要/炒/謂/云/鋳/煎/熬/
いc /行/言/入/居/逝/射/要/炒/謂/云/鋳/煎/熬/
かr /借/枯/嗄/刈/渇/駆/涸/穫/苅/駈/狩/
そn /其/素/剃/反/
よu /酔/
こn /捏/来/込/凝/梱/混/樵/
もn /盛/揉/洩/漏/
てk /手/
そr /逸/剃/外/反/
くr /来/呉/暮/昏/繰/食/喰/刳/
おもu /思/想/
みr /見/診/観/視/看/
いk /行/生/逝/活/居/埋/良/射/鋳/
できr /出来/出切/
こr /凝/懲/梱/来/樵/
よi /良/善/好/酔/佳/
なd /名/撫/
よr /寄/選/撚/縒/依/因/縁/拠/択/由/
なn /鳴/成/為/生/
まd /未/
とk /説/解/溶/疾/釈/融/熔/梳/
ひt /引/放/乾/干/簸/
たm /溜/矯/貯/
がt /勝/刈/飼/
はt /果/張/貼/這/
はc /張/貼/這/
てr /照/輝/
だi /炊/抱/
そu /沿/添/
だk /炊/抱/
たt /立/達/建/絶/断/佇/起/裁/点/経/発/截/足/
たc /足/
たi /炊/焚/
なk /亡/無/泣/鳴/失/哭/啼/
せr /迫/競/糶/
まt /真/待/舞/
つk /尽/突/付/着/就/漬/従/衝/浸/即/附/憑/点/撞/搗/
かんがえr /考/
しまu /仕舞/
いm /忌/良/居/射/鋳/
もt /持/盛/洩/漏/
やr /遣/殺/
とu /問/疾/訪/
わかr /別/判/分/訣/解/
にt /似/煮/
にc /似/煮/
おr /降/下/折/織/居/
おk /起/置/追/落/熾/於/措/
でr /出/
まe /舞/
おこなu /行/
とr /取/撮/捕/採/執/摂/盗/
たr /足/垂/
せi /咳/堰/急/塞/
わk /分/沸/別/湧/涌/
ながr /流/永/長/
しかs /然/併/而/
つかu /使/遣/仕/
きk /聞/聴/効/利/着/訊/来/
しr /知/痴/報/
あt /当/充/宛/合/会/遭/逢/有/在/遇/
そしt /誹/謗/譏/
かi /買/書/描/欠/飼/嗅/掻/舁/交/支/
こu /小/請/乞/恋/
はいr /入/
かt /勝/且/克/買/飼/刈/穫/苅/駆/駈/借/狩/交/支/
つくr /作/造/創/
つくt /作/造/創/
こk /扱/痩/転/倒/放/濃/
